('37271406470601066', '0758', '262', '240', False)
('645264299265295981', '1139', '100', '475', False)
('9029307452153150407', '0761', '569', '060', True)
('9863834408900', '1143', '692', '328', False)
('091690650830985', '0662', '909', '566', True)
('0875964972687155', '0442', '324', '722', False)
('926522627071487', '0154', '627', '877', True)
('88431215259732', '0546', '339', '089', True)
('520618443490720599', '1085', '360', '488', False)
('74184907477458698', '0785', '287', '393', True)
('37137486198218', '1126', '327', '884', True)
('49394790464910758', '1169', '259', '371', True)
('0983881150046', '0750', '564', '781', False)
('4814214012296', '0984', '698', '323', True)
('62847092449783', '0675', '217', '620', False)
('679965573670043', '0432', '003', '787', True)
('6440315930773848', '0159', '183', '924', True)
('13503832045841', '0591', '955', '688', True)
('96660288927607', '0288', '469', '713', False)
('0541195455715', '2702', '074', '178', False)
('140596321839957044', '1075', '939', '320', True)
('7379110274684228363', '0782', '665', '387', False)
('1023303693074233971', '2255', '323', '711', False)
('53353425720114153', '0397', '868', '125', False)
('50551831270278', '0294', '322', '518', True)
('0556224576964276505', '0498', '762', '099', True)
('049141101589674', '0825', '205', '395', False)
('84368916231759538', '1198', '872', '080', True)
('16901561108746154', '0368', '873', '771', True)
('893584550525804130', '0644', '549', '399', True)
('73263038231086', '1139', '255', '847', False)
('14232577258307', '0549', '596', '935', False)
('1690120406242574136', '1264', '933', '252', True)
('2713935921631', '1291', '448', '650', True)
('2076200704434068', '0750', '983', '411', True)
('261888738949942', '8062', '003', '692', False)
('266846576490341', '0685', '431', '108', True)
('10303070465683', '1153', '801', '957', False)
('753319841900189', '4538', '258', '667', False)
('307263515871469', '0383', '278', '588', True)
('1926485811476730', '0275', '026', '292', True)
('86411900878774', '0861', '416', '714', False)
('41689639601427', '0243', '257', '736', True)
('186406939795552617', '0499', '462', '237', False)
('895275121376186', '0377', '036', '503', True)
('4373416328889216', '1031', '260', '776', True)
('92501941568027641', '0891', '937', '277', False)
('70717414632715', '0360', '236', '582', True)
('13960820306629', '1129', '171', '846', True)
('62089415964525', '5079', '807', '620', False)
('9078092744512', '4230', '118', '679', False)
('809821404127226368', '0240', '740', '197', False)
('486295347776037376', '0792', '589', '222', True)
('2436105845271110', '0171', '467', '458', False)
('452074969326452224', '0861', '022', '049', True)
('6673845532539134147', '0139', '303', '236', True)
('164202870736140696', '0389', '400', '601', True)
('840092716657773866', '6638', '760', '204', False)
('4503247774730979293', '0464', '737', '443', True)
('6500906543499277785', '6172', '488', '989', False)
('92843261079216', '0293', '197', '212', False)
('55797504013164944', '1078', '127', '671', True)
('35536314459541151', '0988', '373', '947', True)
('1954845825819715638', '7985', '147', '504', False)
('243342064345827348', '0541', '634', '422', False)
('314267290361498', '2253', '163', '950', False)
('30663771824405', '1262', '380', '169', False)
('571763771823320117', '0787', '125', '336', True)
('879646143793535', '0480', '244', '517', True)
('2319869675332', '0861', '157', '816', True)
('1646865879224', '0633', '806', '508', False)
('16241267400293866', '0872', '745', '903', True)
('81950476292034594', '0576', '312', '216', True)
('008187545735463', '1044', '103', '233', True)
('319691160806552', '0376', '532', '771', True)
('63341516357793752', '0484', '673', '310', True)
('57705180691939', '0346', '576', '656', False)
('5797255713585162700', '0852', '326', '345', True)
('699602852792437068', '0239', '508', '995', False)
('95862267550181046', '0686', '190', '108', True)
('16771960495872655', '1098', '632', '114', False)
('107181105837966853', '0563', '910', '974', False)
('58544802660058546', '2840', '062', '454', False)
