('811290390608389882', True)
('31804724861808838', True)
('5289674737824', True)
('7681884163083201225', True)
('292108386108000693', False)
('0143422281456532229', True)
('04519444214372118', False)
('33840085061441958', False)
('8836192999764074738', True)
('929615969663347121', True)
('308930586425032', False)
('988862386654478', False)
('339513663959050409', True)
('8412097746175968', True)
('756997290319799523', True)
('94610243722439', True)
('2583692335683', False)
('1385644581092', False)
('453407315077478263', False)
('24884140986992', True)
('261032242178660', False)
('54106154040786', False)
('669182748616230096', False)
('2876792041256453', False)
('0809096045798123018', False)
('6746296946525990445', True)
('72447037193113', True)
('471444816720361', True)
('875489081137201849', False)
('149707365701709592', True)
('2210647758753123', False)
('0641976896660551757', False)
('007563126558601750', False)
('332996214918322660', False)
('7932790446327', False)
('69421166146254', True)
('6398550139317', True)
('728378350678794', True)
('26437605040850', False)
('7030944131246', False)
('884014912748048920', True)
('3784369695635327545', False)
('8763802765862502', True)
('561821280126186', True)
('48738185568391616', True)
('50435851225257290', True)
('983549101420985872', True)
('5394297985860', False)
('6919420507590898', False)
('116584031286499', False)
('937081800389877588', True)
('906185559789551', False)
('130422836004121713', True)
('589212179238387813', True)
('268749985107050', False)
('5538322600326302611', False)
('3218948612227540866', False)
('1808836523516614', False)
('0922718984674541100', False)
('1344380349507', True)
('14797237293738', False)
('7750546032318974381', False)
('8547017816317', True)
('607681368453030842', True)
('8078032013609287', False)
('79152310834540609', False)
('87726639463138', False)
('2236847862826', False)
('213459446061442166', True)
('316086966444229636', False)
('1537098392145', True)
('4278321959187201', False)
('04627793103019665', False)
('862503192910412', False)
('5524313159042146878', False)
('20978928005449', True)
('305584277721051', False)
('2153798719139', False)
('0152261619611444886', False)
('21546415751415214', True)
('3083729723722953916', True)
('5000722118572', True)
('353674338825353933', False)
('369208112432087', False)
('4387795221806750442', True)
('22409459195724858', False)
('073178810357562', True)
('528408470812600743', True)
('001306150995256', True)
('0600048543845526', False)
('24435350829727', False)
('6233204687178647706', True)
('4456910165931123', True)
('84399281494539', True)
('01248369139544034', False)
('2562741705098783', True)
('32469539518570233', True)
('3572305449069869085', False)
('3438750316696', True)
('84369089511677', True)
('0714688417700001', True)
('743962272009948', True)
('47123101076052', False)
('2616746225173536817', True)
('708297941608609694', True)
('98477110720318', False)
('81852696776273934', True)
('186262494911318', True)
('047466998887143', False)
('9965262020071', False)
('0643923710279229590', False)
('014439878269285', False)
('3214787161963457055', False)
('63536760870459112', True)
('00544531396675065', False)
('0259861315838', True)
('61952130027251', False)
('611451382449024249', True)
('7404718745023618', False)
('411429239914376906', False)
('7556255487733334176', False)
('6921660818176616', False)
('199603651662698811', False)
('27404812288507', False)
('919449515519289', False)
('8554184095231354040', False)
('1556100042563360636', True)
('2264301249298', True)
('507739284532216', True)
('1363857627377', True)
('41773231097489', True)
('0836129468802503005', True)
('843832935347481', True)
('7226980775427483041', False)
('030996903809459587', False)
('1588190428743279', False)
('5102292046363122', True)
('7203595898045848182', True)
('10819448703653', False)
('69605820816239995', True)
('560509605735747', False)
('34719110030124', False)
('1282149243301792405', True)
('4759379748038413880', False)
('8929487423322630326', True)
('0545849272578669', False)
('94467129848117534', False)
('49194355000869454', False)
('9641713484915', True)
('512107699048645', True)
('1451051552093788', False)
('06808201947132093', False)
('161167584953568', False)
('33902855727408', True)
('4196186428754004902', True)
('88581906578914541', False)
('11517280855399055', False)
('329917002118718', False)
('97878446162540', False)
('122272252149931412', True)
('661518558218213776', False)
('7192261791600', True)
('449793763219184', True)
('65059138478324', False)
('8303606531767', False)
('237677727141972040', False)
('1216682734425126448', False)
('254132179574276669', False)
('7566068116140813', False)
('8491598132725690', False)
('6100072851027', False)
('337412964460863579', True)
('379457643121473', False)
('5084369607105', False)
('022054888990588', True)
('63759327139437428', False)
('1479506417227410816', False)
('672150280360214565', False)
('267078525709014', True)
('094009525516332012', False)
('82970815640383', True)
('9110500273333456469', False)
('8865154454761', False)
('8239436107472347031', False)
('0003236601651489', False)
('23880774422166063', False)
('957996323695765', False)
('081666261288353769', True)
('1990348016586', False)
('9515284665134192', True)
('8873520213647252', False)
('81279996029981', True)
('2082409365870658', True)
('486044018527425', True)
('9542199880676495', True)
('369083323208232', False)
('7356565379980725652', False)
('98404379016253', False)
('74426311217879', False)
('917061347296612', False)
('5461943984479974', False)
('5230125093962322514', False)
('800191029917670', False)
('9616401604387412351', False)
('26731338870793', False)
('524714745586688', True)
('851378465391870131', False)
('81757192817512494', True)
('67626792737388824', False)
('56152514530874', False)
('57116188796045', True)
('5039741984366', False)
('84565412679664217', True)
('7913456954194', True)
('95047666972292018', False)
('04993469996681477', False)
('97947099770802647', False)
('43456380538846', False)
('742394558770822', True)
('95124392724468', True)
('8576869472172422430', True)
('3146346333663935746', True)
('3171517471005', True)
('200751323187680841', False)
('6828569372002878290', True)
('7668961235248813780', True)
('32109710344892861', True)
('7134336015615', True)
('9123078366870', True)
('07088922454978', True)
('315547734007263', False)
('438901650219256462', False)
('016764160117340', True)
('4791056759414094', False)
('00565601057202006', False)
('5367650328218386056', True)
('5872205562914373', True)
('367424518772248', False)
('35542429459493419', True)
('2629192116147', True)
('2990640240135', False)
('84693692118103', False)
('1411631592127099', True)
('6447414738820', False)
('86677241606659804', False)
('89344810261145', True)
('2763671059852894984', False)
('078549899045177', False)
('3028894109614053672', False)
('016973013388541', False)
('53687635182857583', False)
('7581249917560', False)
('32538968780054633', True)
('71750098085479', False)
('8244621067640', False)
('9854807973797', False)
('00560360184029719', False)
('32354626240884', True)
('913960522432909', False)
('78482427739526', False)
('88649360607831', True)
('299516227783326', False)
('802512356596464', True)
('4670448946650407', False)
('828319635325735', True)
('1065040257109', False)
('785811845979807', True)
('0684858319401', False)
('69149141856719', True)
('2534037645119606', True)
('1777298833379', False)
('9049416754461', True)
('6912333287497365', False)
('2361241071799992601', True)
('57312310531125', True)
('392584864796622268', True)
('9479206491521', False)
('518533817641386234', False)
('52644724124690', True)
('1278864335731222', False)
('3190145657375500500', False)
('5310607640374331906', True)
('13960369463890351', False)
('20312205078293', False)
('09963905617345050', False)
('781910154452968', False)
('418625829608488', False)
('853780131881755', False)
('74512448068686663', True)
('07820952382320583', True)
('7532753264259189372', False)
('5704229585104', False)
('55625063595233', True)
('05217793746020', True)
('2258780122216', True)
('8054669123271', False)
('53412333280999109', True)
('712285348209593671', False)
('75547601396971', True)
('11242916235265', False)
('06306999856333621', True)
('7346417042816727357', True)
('0296035226306115', True)
('8421308654573', True)
('4036479539907398712', True)
('619912804692164980', True)
('4767412108006208', False)
('0720123002170016', True)
('5570561838191019026', False)
('397040470047624314', True)
('968871310203399', False)
('8825069442947017', False)
('39365600958203', True)
('5463823062935', False)
('0211159264533', True)
('282315796327394', True)
('503131415036691678', True)
('7835626513438', True)
('1296624954742212484', False)
('53465309792465512', True)
('8598825646826', True)
('1063107740870', False)
('55953049316456332', False)
('15226952220631103', True)
('12370084505786', False)
('1684773599561662', False)
('6113942698528', False)
('2044947312282', False)
('591425312339389', True)
('4220396493872202', True)
('3875852740879747', False)
('5440496108507200', True)
('9775083280844', False)
('0788505317095083075', False)
('8574866014232543', False)
('8016145088011412243', True)
('142123167340275790', False)
('8748432191766198791', True)
('2866332845439745967', False)
('7604737219767284', True)
('030615903410504954', False)
('376702952895563', False)
('16183763490432430', False)
('646066122676799540', False)
('19215498312563', False)
('0842425493628771965', False)
('9100470143255', False)
('1869358830271910908', True)
('54948874167263524', True)
('21062005622944494', True)
('42959603252429950', True)
('449994010198218972', False)
('577840777827892', True)
('691421838624197', False)
('7526043643127244898', False)
('9747958253780', False)
('731503911696606', True)
('64210087512297', False)
('848783920856983', True)
('6545529978353', False)
('313309731354210', True)
('35905186862321', True)
('9405150246876304469', False)
('13017775710493207', False)
('5196913640620483172', True)
('067543414064245', False)
('44868428281806432', False)
('682124280528491', False)
('720512311762639115', False)
('697371947138386749', False)
('4263835566183219', True)
('6216537929802120', False)
('5032574362537', True)
('3873425942837739082', False)
('35343521915390', False)
('0747416550145319335', False)
('47591828897653960', True)
('71136304824817260', False)
('4941420137220688728', True)
('973059624066891271', True)
('7404366130521', False)
('4843468150700989', True)
('0438114388145', True)
('8485076769701928', False)
('94064845892403597', True)
('987525182024991473', True)
('8077350565578', True)
('23650942877692', True)
('455780735265766496', False)
('018830209501966936', True)
('12037691902470', True)
('578660082026770119', True)
('277431052178608', False)
('6105617264316761012', True)
('5789883676345788204', False)
('00901986257938704', True)
('1224968710413', True)
('5428732914322648747', True)
('3124671829911753601', False)
('42183065107798484', True)
('6091020627884399220', False)
('6183584070831', False)
('170185945035585', False)
('328012951866751', False)
('14396492908153', False)
('9950865843757635630', False)
('28791249748387', True)
('788633908390889', False)
('52217795534159285', True)
('60486843643840', False)
('0634180623595075', False)
('40647826321334743', False)
('7119029376507', False)
('22954654825918198', False)
('3951007437832808438', False)
('11736040009149323', True)
('2907017789003', False)
('6079105714776976183', False)
('7110214151880155000', True)
('59336337488526366', False)
('4512733344772263', False)
('6316112519119944', False)
('55670067526747573', True)
('70886590075482764', False)
('2361415537134736911', False)
('890485001036413', False)
('39852718003122839', True)
('023631942643965348', True)
('494489711470326', True)
('3065602650014364289', True)
('866885493736481079', True)
('79049728119786492', True)
('100678068826314037', True)
('3029251986688554', True)
('9731475692717988027', False)
('55426481468776', True)
('1448291934820', False)
('341921168084265767', False)
('1865028398071707', True)
('51672064583820', True)
('6356310035492404240', True)
('46186997733375139', True)
('059853763622984', False)
('47940287324976', False)
('8503768195824598721', False)
('790164330901382050', True)
('2111892014500633', False)
('09237714569323', True)
('2756692688617015060', False)
('98332234581833', False)
('7725452123616749774', True)
('4331600722247839', False)
('515287901675638', False)
('720116251899316338', False)
('4885443565415894', True)
('866783459192419', False)
('859275191515469', False)
('13046856944053655', True)
('8939633055087040', True)
('55609291670461130', False)
('40458076780711159', False)
('4005897020725150691', False)
('94948655713318', True)
('69204340845805356', False)
('256181392164424756', False)
('284138561142936', False)
('801413708966334823', False)
('5349864115595059673', False)
('844995004405220880', True)
('37403353236352', True)
('29491871012395850', True)
('29351220126967981', True)
('5724539618252157911', False)
('4288529181639793', False)
('9714286010891046220', True)
('205865926881905082', True)
('1052655768414', True)
('27898970518193711', False)
('59476976030175709', True)
('220448581092298', True)
('042732512116150526', False)
('8997236463435', False)
('97548449405648', False)
('761416952871354442', False)
('9222438315368394', False)
('005668879263878', False)
('54689198566304', True)
('3856863971372794172', False)
('8812988112064694148', False)
('69225392096858365', False)
('723889701780916454', False)
('3477311003542', False)
('893580724424875', True)
('959285895006674739', True)
('60086848949496007', True)
('6571726541600', False)
('6787870386596227', False)
('51571866345745', True)
('982325553495733', False)
('66636431094779535', False)
('760233655914228803', False)
('36020407694979821', True)
('958035750917666', True)
('76371066767868', True)
('97137664751375110', False)
('7078653303499139', False)
('297249769388479928', False)
('357817935500435932', True)
('0052103333085679340', False)
('78288669715350808', True)
('65493542075956', True)
('2610069957087722', True)
('94799359810789', True)
('64870180958478813', True)
('48234487177289531', True)
('6530487436791011', True)
('2245256336209936437', False)
('136869139904291', False)
('395766016535392975', False)
('8431918445150904958', False)
('7650016957049742479', True)
('6942385504039908234', True)
('932028471403687', True)
('0964789652325', True)
('101319831476645', False)
('28054690843637606', False)
('954544093885557', False)
('83155207886947118', False)
('5703285403983626', False)
('9603597158036873732', False)
('43494605924342891', True)
('228588455299893639', True)
('61959247548717016', True)
('70710438843939', False)
('04453456367496', True)
('4092972527349642', False)
('33144068261001924', True)
('732239765425163754', True)
('3012153963981615', True)
('44773039650650', True)
('5583372265422136787', True)
('77870283522500', True)
('2794782621662449936', True)
('5035470383780825', True)
('61184762989026', True)
('42950989907544', True)
('55070128201881107', False)
('6153286257145604', False)
('0561036674000091', False)
('287721457110778753', True)
('77566482893401087', True)
('452784344425691', False)
('32856170158251883', True)
('6377477215905', False)
('365964017037198517', False)
('2987921218574572', True)
('571756825828655213', True)
('72188935544979', True)
('7448731873687', False)
('7311735343343539', True)
('521048384642946831', True)
('666183271927280176', True)
('5206005686479502', True)
('674501622327930258', False)
('76441455386242971', True)
('864366051384696217', False)
('149905264146473676', False)
('2723949698434925962', True)
('090711310839880', False)
('2334648915961951900', True)
('147107895956522571', True)
('9163135139347982713', False)
('86639555210276748', True)
('931466381837480', True)
('38142782703424640', True)
('32097015866427', False)
('40512740617242', True)
('330262883906287472', True)
('800237141278951413', True)
('52747609522093878', True)
('5274181504197803', False)
('1260928754259583', False)
('28232835101612521', True)
('4472747336070777429', False)
('744012711369857645', True)
('4210519265153640', False)
('011907497945875713', True)
('97233415523165436', False)
('9624453517403744967', True)
('5865605202093', True)
('51108104951108460', False)
('45354336361017', True)
('1305235573710', False)
('731341572904674898', True)
('576649249288182', True)
('29034898985870', True)
('660535447816658981', True)
('84787945468545', False)
('081682383602437', True)
('86422513988686', False)
('1514534220062078520', True)
('6952479725137473468', True)
('8001635514837115719', True)
('044691916251279062', True)
('49687626907400179', True)
('311673919153481567', True)
('40143864148697', True)
('99762844779761924', True)
('6981757755470', True)
('623908133784078793', False)
('54080361175083', True)
('851854445818966', False)
('5037529159589', False)
('312073232916676', True)
('4699015536822923', False)
('0422199692658909', True)
('298335250296408567', True)
('2600065156850821', False)
('4634072432657811600', False)
('81947982758728', False)
('7514233006975', True)
('0990862078336', True)
('0605848366752484', True)
('132285510933606886', True)
('42892896302764166', True)
('60987033342127', False)
('4793236873914520', False)
('0183343616499748', False)
('833703985637810', True)
('672751917574407', True)
('296986819771012544', True)
('5933314958583631905', True)
('3067366513900430', False)
('36164753420643900', False)
('555501850800935', False)
('4271946227900', False)
('6908528036625', True)
('699011557461772', False)
('12700140483224', True)
('35470135361966', True)
('681379513955506342', False)
('28949451965032055', True)
('7728692196330990050', False)
('3642113509921929', True)
('4874191269456804', True)
('17275110037184529', True)
('9647396393679', True)
('0514459473062', False)
('19750565854287', True)
('65240237364009', False)
('9656067613907283', False)
('2777760954546608', False)
('11293942558295', True)
('087272449542520231', False)
('70275207399368853', True)
('7425469082191763689', False)
('1358586730924168', True)
('736298388302482', True)
('89929299905749', True)
('564926912496987', False)
('4180875960912', False)
('3340345097861175', False)
('53074625374658', False)
('9547124142887', True)
('81315351318349369', False)
('4168161667105662', True)
('06098251070737191', True)
('34275363447770', False)
('1996321263827937', True)
('53124428426087550', True)
('432764384627386872', True)
('528948306810013843', True)
('6512829125423346537', True)
('7298923469012', True)
('406068904801781', True)
('95396138601224496', True)
('099956149190678525', True)
('31121056529756863', False)
('0480546719398', True)
('8069664989812726', False)
('2422046222384', False)
('1023967034341329986', False)
('44062913665720998', True)
('4258416295608811028', False)
('98903005338676', True)
('29715446972567275', True)
('9324683146308848936', True)
('182262686060795', True)
('550942338485896', True)
('39429324382502', False)
('72936285322531', True)
('6688733531830', False)
('19885724553615829', False)
('33287159743750', True)
('57122886603820221', True)
('439777319366182710', True)
('174330703666850', False)
('36563049861255149', True)
('34117642613009419', False)
('05983296145275481', False)
('75367061724729026', True)
('27673536322160179', False)
('8574665428278', True)
